date_participation,code_postal,empreinte_moyenne,logement_type,logement_superficie_m2,logement_nb_habitants,logement_type_chauffage,logement_isolation,logement_temperature_chauffage,transport_km_voiture,transport_km_voiture_electrique,transport_km_train,transport_km_bus,transport_km_metro,transport_km_tram,transport_km_velo,transport_km_velo_electrique,transport_km_trottinette,transport_km_moto,transport_nb_vols_avion,alimentation_repas_viande_semaine,alimentation_eau_bouteille,alimentation_petits_electromenager,alimentation_gros_electromenager,alimentation_freq_remplacement,vetements_neufs_an,divertissement_petits_electromenager,divertissement_gros_electromenager,divertissement_freq_remplacement,divertissement_appareils_numeriques,divertissement_heures_video_jour,divertissement_qualite_video,impact_logement,impact_transport,impact_alimentation,impact_vetements,impact_divertissement,impact_total
2025-02-08,1050,10.72,Appartement,94,1,Bois,Bien isolé,22,9626,0,655,2686,2707,605,627,0,367,0,2,5,Non,2,5,Plus de 15 ans,22,7,2,Moins de 5 ans,8,5,4K,2.48,3.2,0.61,0.44,4.78,12.9
2025-06-13,1160,8.47,Colocation,64,1,Électrique,Moyennement isolé,20,12545,0,265,4956,628,1390,921,0,190,0,0,2,Non,5,5,10-15 ans,20,2,2,5-10 ans,9,8,HD,2.68,2.94,0.52,0.4,7.47,16.32
2025-04-15,1020,11.17,Colocation,87,6,Fioul,Mal isolé,19,4018,1213,3703,1414,2921,911,179,0,495,0,1,5,Oui,6,5,10-15 ans,15,7,3,10-15 ans,10,3,SD,0.77,1.6,0.75,0.3,2.92,7.57
2025-04-21,1120,11.07,Appartement,86,3,Fioul,Mal isolé,22,4252,0,706,538,1266,815,1468,0,269,0,1,9,Oui,3,5,Moins de 5 ans,33,5,6,10-15 ans,4,8,4K,1.44,1.44,0.88,0.66,7.51,12.35
2025-05-18,1082,11.46,Appartement,55,2,Fioul,Bien isolé,19,10572,0,1847,2834,2125,1832,581,0,128,0,4,4,Oui,7,5,Moins de 5 ans,37,7,3,5-10 ans,4,5,4K,1.8,4.4,0.72,0.74,4.74,10.13
2025-05-31,1090,11.45,Studio,40,2,Bois,Mal isolé,22,20938,14565,5137,4469,1186,1314,1959,0,125,0,2,4,Non,2,3,5-10 ans,33,5,5,Plus de 15 ans,5,5,4K,0.9,6.37,0.47,0.66,4.78,11.3
2025-03-31,1060,9.99,Studio,32,1,Fioul,Très bien isolé,20,7921,0,2191,3683,1015,288,198,1573,442,0,0,13,Oui,8,5,10-15 ans,17,8,3,Plus de 15 ans,10,7,HD,2.84,1.96,1.09,0.34,6.6,14.77
2025-05-28,1050,10.02,Colocation,90,2,Fioul,Très bien isolé,18,9219,0,7228,3855,1170,1099,16,0,220,2166,2,12,Non,4,3,Plus de 15 ans,8,6,6,5-10 ans,7,8,HD,2.1,3.5,0.81,0.16,7.5,11.67
2025-01-31,1080,10.96,Appartement,56,6,Pompe à chaleur,Moyennement isolé,20,18279,0,6184,1181,815,1233,1042,0,20,1122,2,12,Non,6,6,5-10 ans,43,6,3,10-15 ans,7,2,HD,0.39,4.96,0.98,0.86,1.99,10.98
2025-04-05,1050,10.88,Studio,36,4,Bois,Mal isolé,23,18445,13365,136,3017,1356,1379,224,0,298,0,3,13,Oui,6,6,10-15 ans,46,8,6,5-10 ans,2,7,SD,0.4,6.14,1.12,0.92,6.51,15.24
2025-03-15,1160,9.37,Maison,84,3,Gaz,Bien isolé,18,14451,0,1240,3382,2828,417,840,0,313,0,3,11,Oui,7,4,5-10 ans,40,4,5,Plus de 15 ans,7,2,HD,1.26,4.73,0.95,0.8,2.01,11.35
2025-03-22,1210,8.32,Studio,39,2,Électrique,Moyennement isolé,22,9781,4876,6317,2367,2887,424,1413,0,162,0,2,14,Non,4,3,Plus de 15 ans,30,8,4,5-10 ans,6,0,HD,0.99,3.51,0.89,0.6,0.17,7.28
2025-02-27,1180,11.52,Studio,35,2,Bois,Moyennement isolé,22,22812,1789,5043,4807,980,496,103,0,271,0,0,1,Non,4,6,Moins de 5 ans,48,8,3,Moins de 5 ans,10,2,HD,0.75,5.14,0.52,0.96,2.03,9.98
2025-02-19,1083,11.71,Maison,176,5,Fioul,Moyennement isolé,23,1938,0,732,4703,951,1095,1512,0,479,7548,0,14,Oui,2,6,Plus de 15 ans,16,7,4,Moins de 5 ans,2,4,4K,1.16,1.59,1.12,0.32,3.82,8.34
2025-03-27,1170,8.38,Colocation,142,2,Pompe à chaleur,Bien isolé,22,15336,13251,922,2708,665,1497,939,0,367,0,2,12,Non,6,4,5-10 ans,44,8,5,Plus de 15 ans,10,5,SD,1.82,5.01,0.88,0.88,4.77,12.83
2025-05-16,1083,11.83,Studio,27,1,Pompe à chaleur,Bien isolé,21,24699,5400,2473,4771,2960,1173,23,0,184,0,0,1,Non,4,4,Plus de 15 ans,48,6,4,Moins de 5 ans,6,5,4K,1.44,5.67,0.42,0.96,4.78,11.78
2025-02-18,1000,10.72,Colocation,137,2,Bois,Mal isolé,22,21761,0,6241,2027,2786,1545,1220,0,41,0,1,5,Oui,6,3,Moins de 5 ans,40,6,3,5-10 ans,4,5,4K,1.87,5.13,0.65,0.8,4.74,12.88
2025-01-22,1080,8.72,Appartement,105,2,Gaz,Mal isolé,19,16818,0,4619,472,2288,946,1377,0,370,2084,3,11,Oui,6,3,Moins de 5 ans,32,4,2,Moins de 5 ans,3,7,SD,2.25,5.23,0.89,0.64,6.46,14.15
2025-05-17,1200,9.38,Colocation,107,6,Pompe à chaleur,Mal isolé,21,12309,10842,7164,4417,544,1338,1761,0,91,0,1,2,Oui,8,3,Moins de 5 ans,24,5,6,Plus de 15 ans,10,6,SD,0.57,3.98,0.55,0.48,5.69,10.13
2025-04-11,1200,11.94,Appartement,44,4,Pompe à chaleur,Très bien isolé,19,6752,9731,275,3657,2448,1376,1440,0,125,0,1,3,Oui,8,3,5-10 ans,37,4,3,10-15 ans,7,3,HD,0.45,2.66,0.59,0.74,2.9,8.44
2025-02-07,1180,10.25,Colocation,98,2,Bois,Bien isolé,23,22241,0,4060,384,1410,1928,1317,0,402,0,2,6,Oui,4,6,5-10 ans,39,5,3,5-10 ans,6,2,HD,1.23,5.59,0.82,0.78,1.97,12.12
2025-03-06,1200,11.64,Maison,129,2,Électrique,Moyennement isolé,23,2590,0,6939,3039,378,1096,1483,0,26,0,2,9,Oui,8,3,5-10 ans,42,7,6,5-10 ans,9,3,HD,1.84,1.87,0.83,0.84,2.97,7.69
2025-04-27,1200,9.04,Appartement,101,5,Bois,Bien isolé,21,7842,0,6353,2318,1559,954,1092,0,157,0,1,7,Non,2,6,10-15 ans,18,4,4,Plus de 15 ans,2,3,4K,0.54,2.37,0.74,0.36,2.9,5.93
2025-01-22,1090,10.1,Colocation,97,1,Fioul,Bien isolé,21,18670,0,4090,4510,2681,1932,1402,0,390,0,4,10,Non,5,4,10-15 ans,15,3,6,Plus de 15 ans,4,8,4K,4.24,6.21,0.79,0.3,7.51,22.54
2025-06-01,1030,11.22,Appartement,40,2,Électrique,Très bien isolé,23,4948,8285,3735,3057,247,1265,1306,0,315,0,2,0,Oui,6,6,Moins de 5 ans,6,6,4,10-15 ans,2,8,4K,0.75,2.74,0.6,0.12,7.46,12.49
2025-05-06,1030,9.74,Appartement,107,1,Électrique,Moyennement isolé,20,8759,0,647,3056,1663,940,1157,2855,115,0,3,1,Oui,2,6,Plus de 15 ans,29,6,5,Moins de 5 ans,2,2,SD,3.54,3.53,0.6,0.58,1.93,10.18
2025-03-28,1180,11.34,Appartement,107,5,Électrique,Bien isolé,23,18572,0,381,609,2803,1895,574,0,288,0,0,13,Non,2,4,5-10 ans,50,8,5,Moins de 5 ans,6,2,4K,0.61,3.82,0.88,1.0,2.06,7.5
2025-03-13,1210,9.52,Studio,32,4,Électrique,Très bien isolé,22,24427,0,439,800,1790,475,1717,2478,393,0,2,12,Non,2,5,Plus de 15 ans,36,3,4,Plus de 15 ans,8,2,4K,0.36,6.01,0.89,0.72,2.06,10.38
2025-01-13,1082,8.37,Maison,171,1,Fioul,Bien isolé,21,23320,0,1263,3191,1297,738,218,1262,227,0,0,2,Oui,3,6,Plus de 15 ans,40,6,6,Plus de 15 ans,3,0,SD,5.72,4.97,0.65,0.8,0.13,11.55
2025-01-18,1000,9.98,Colocation,61,2,Pompe à chaleur,Très bien isolé,23,18334,0,1988,4685,2134,347,1403,0,71,0,0,2,Oui,3,6,10-15 ans,31,4,5,Moins de 5 ans,7,4,SD,0.86,4.09,0.65,0.62,3.81,10.92
2025-01-14,1050,9.3,Colocation,73,1,Gaz,Mal isolé,20,20322,0,7063,2699,1803,685,881,0,440,0,2,4,Non,6,4,Plus de 15 ans,25,3,5,10-15 ans,6,7,4K,3.76,5.44,0.56,0.5,6.61,18.77
2025-04-10,1050,9.92,Studio,23,5,Électrique,Bien isolé,23,18025,11914,3781,1717,1795,1633,596,0,35,0,3,6,Non,3,5,5-10 ans,21,7,3,Plus de 15 ans,8,1,HD,0.27,5.91,0.66,0.42,1.09,10.0
2025-03-10,1040,10.3,Colocation,129,1,Fioul,Très bien isolé,18,8134,0,2908,1362,2650,1254,90,0,330,0,1,12,Non,8,6,Moins de 5 ans,5,2,4,5-10 ans,10,8,4K,4.98,2.33,1.0,0.1,7.55,16.48
2025-02-26,1040,10.84,Colocation,119,4,Bois,Bien isolé,20,804,0,2420,3407,351,237,1702,0,72,0,1,12,Oui,6,6,10-15 ans,35,2,5,Plus de 15 ans,7,1,HD,0.79,0.98,1.08,0.7,1.09,3.8
2025-06-15,1040,11.49,Appartement,61,5,Électrique,Bien isolé,22,5247,0,3492,3785,949,1633,829,0,95,0,1,0,Oui,5,6,Plus de 15 ans,5,7,3,5-10 ans,6,1,4K,0.44,1.92,0.59,0.1,1.12,3.51
2025-05-04,1000,10.04,Studio,26,2,Fioul,Mal isolé,22,20942,0,3183,3215,2404,233,712,0,234,0,3,11,Non,6,3,5-10 ans,25,2,3,10-15 ans,3,2,HD,1.56,6.03,0.79,0.5,1.93,11.64
2025-03-05,1190,9.78,Maison,153,2,Électrique,Mal isolé,23,17608,0,5285,1419,2272,341,1002,0,95,0,1,0,Non,2,6,5-10 ans,17,8,5,Plus de 15 ans,8,7,HD,2.18,4.23,0.46,0.34,6.6,14.97
2025-05-09,1030,11.27,Appartement,68,2,Fioul,Bien isolé,22,9459,7492,4633,4057,2251,1046,231,0,137,0,3,5,Oui,8,6,5-10 ans,32,2,3,10-15 ans,2,7,HD,1.78,4.19,0.82,0.64,6.48,13.06
2025-02-28,1080,11.47,Maison,106,4,Bois,Moyennement isolé,23,19997,0,1359,1140,846,1666,423,0,291,0,0,8,Oui,4,5,10-15 ans,41,4,6,Moins de 5 ans,4,6,SD,0.71,4.15,0.85,0.82,5.61,14.53
2025-05-19,1000,9.43,Maison,111,1,Fioul,Bien isolé,23,12868,0,4730,2201,2571,848,768,0,324,0,3,6,Non,7,5,Plus de 15 ans,36,4,6,Moins de 5 ans,3,7,4K,4.32,4.37,0.7,0.72,6.58,17.79
2025-06-04,1040,10.75,Colocation,87,5,Électrique,Mal isolé,20,10579,0,2766,4483,2367,267,1159,0,403,0,2,0,Oui,2,6,Moins de 5 ans,12,8,3,Plus de 15 ans,9,0,HD,0.67,3.57,0.56,0.24,0.2,4.61
2025-05-18,1180,9.37,Studio,25,4,Fioul,Très bien isolé,23,11810,6092,5443,1355,212,811,1281,0,358,0,1,1,Oui,2,4,Plus de 15 ans,9,3,6,5-10 ans,10,7,SD,0.6,3.39,0.5,0.18,6.6,9.05
2025-05-21,1090,8.4,Maison,141,1,Pompe à chaleur,Très bien isolé,23,3356,6022,7217,2451,561,783,1584,0,447,5547,0,8,Oui,6,4,Plus de 15 ans,27,7,3,5-10 ans,8,7,SD,3.32,1.88,0.82,0.54,6.54,10.93
2025-05-20,1050,10.55,Colocation,104,5,Fioul,Bien isolé,19,9075,0,2032,4533,2461,1228,1476,0,398,0,0,13,Non,3,4,Plus de 15 ans,23,7,2,5-10 ans,9,6,SD,0.92,2.26,0.89,0.46,5.63,9.11
2025-06-02,1000,8.33,Appartement,86,5,Électrique,Mal isolé,22,13790,0,5594,1415,1929,1954,1577,2405,34,1767,0,0,Non,6,5,Plus de 15 ans,32,7,5,Moins de 5 ans,10,8,4K,0.62,3.15,0.45,0.64,7.58,10.72
2025-05-31,1150,9.99,Maison,183,1,Fioul,Mal isolé,22,20784,0,5323,541,1270,1430,895,0,433,0,0,14,Non,2,6,Moins de 5 ans,24,7,3,Moins de 5 ans,2,2,4K,6.26,4.33,1.02,0.48,1.98,11.32
2025-03-24,1030,11.45,Studio,25,2,Fioul,Très bien isolé,18,10977,0,2228,4291,261,538,1458,0,321,3728,1,0,Non,8,4,10-15 ans,15,4,2,Moins de 5 ans,5,8,SD,1.45,3.48,0.42,0.3,7.4,10.67
2025-04-19,1090,11.09,Colocation,106,2,Électrique,Bien isolé,18,18116,0,5849,3435,919,659,508,0,368,0,3,9,Non,2,3,5-10 ans,19,8,6,Moins de 5 ans,8,1,HD,1.76,5.52,0.67,0.38,1.13,10.85
2025-04-02,1000,9.51,Appartement,110,2,Fioul,Bien isolé,20,18474,0,6058,1987,1900,754,1211,0,395,0,2,8,Oui,3,3,Plus de 15 ans,6,3,6,10-15 ans,2,5,SD,2.3,4.99,0.74,0.12,4.67,14.15
2025-04-03,1030,8.95,Maison,147,6,Pompe à chaleur,Mal isolé,18,4665,0,762,359,948,1837,1731,0,358,0,1,11,Oui,6,3,5-10 ans,45,8,5,Moins de 5 ans,2,6,4K,0.76,1.52,0.89,0.9,5.66,11.53
2025-04-15,1130,8.16,Colocation,149,4,Fioul,Moyennement isolé,21,8911,3321,1115,4789,446,318,216,1908,160,0,1,12,Oui,5,5,Plus de 15 ans,21,8,2,Moins de 5 ans,4,4,4K,1.37,2.87,1.02,0.42,3.82,10.25
